Original,Analysed,N_chars_in_Original,N_chars_in_Analysed,N_words_in_Original,N_words_in_Analysed,N_chars_in_LCS,N_words_in_LCS,N_words_in_LCS_in_Original
orig_taskb.txt, g2pE_taskb.txt, 2233, 648, 311, 89, 560, 78, 66
orig_taskb.txt, g3pA_taskb.txt, 2233, 794, 311, 116, 606, 105, 42
orig_taskb.txt, g3pB_taskb.txt, 2233, 1247, 311, 164, 748, 141, 31
orig_taskb.txt, g3pC_taskb.txt, 2233, 750, 311, 96, 530, 76, 16
orig_taskb.txt, g4pB_taskb.txt, 2233, 857, 311, 127, 597, 119, 19
orig_taskb.txt, g4pC_taskb.txt, 2233, 628, 311, 100, 462, 86, 26
orig_taskb.txt, g4pD_taskb.txt, 2233, 1086, 311, 149, 644, 123, 21
orig_taskb.txt, g4pE_taskb.txt, 2233, 1035, 311, 138, 918, 131, 119
orig_taskc.txt, g0pA_taskc.txt, 1168, 1041, 159, 136, 932, 127, 115
orig_taskc.txt, g0pB_taskc.txt, 1168, 1460, 159, 189, 982, 132, 124
orig_taskc.txt, g0pC_taskc.txt, 1168, 723, 159, 97, 410, 81, 12
orig_taskc.txt, g0pD_taskc.txt, 1168, 782, 159, 103, 515, 79, 42
orig_taskc.txt, g0pE_taskc.txt, 1168, 369, 159, 46, 275, 46, 8
orig_taskc.txt, g1pA_taskc.txt, 1168, 1064, 159, 137, 674, 114, 54
orig_taskc.txt, g1pB_taskc.txt, 1168, 1114, 159, 144, 753, 106, 79
orig_taskc.txt, g1pD_taskc.txt, 1168, 512, 159, 65, 342, 57, 11
orig_taskc.txt, g2pA_taskc.txt, 1168, 1180, 159, 158, 1055, 148, 137
orig_taskc.txt, g2pB_taskc.txt, 1168, 924, 159, 125, 575, 101, 44
orig_taskc.txt, g2pC_taskc.txt, 1168, 982, 159, 129, 508, 94, 21
orig_taskc.txt, g2pE_taskc.txt, 1168, 635, 159, 74, 359, 65, 7
orig_taskc.txt, g3pA_taskc.txt, 1168, 1470, 159, 194, 975, 137, 115
orig_taskc.txt, g3pB_taskc.txt, 1168, 904, 159, 125, 529, 94, 33
orig_taskc.txt, g3pC_taskc.txt, 1168, 424, 159, 62, 295, 47, 9
orig_taskc.txt, g4pB_taskc.txt, 1168, 887, 159, 119, 732, 105, 79
orig_taskc.txt, g4pC_taskc.txt, 1168, 592, 159, 78, 365, 64, 11
orig_taskc.txt, g4pD_taskc.txt, 1168, 1139, 159, 149, 528, 92, 15
orig_taskc.txt, g4pE_taskc.txt, 1168, 972, 159, 122, 518, 99, 23
orig_taskd.txt, g0pA_taskd.txt, 1395, 927, 180, 118, 546, 87, 17
orig_taskd.txt, g0pB_taskd.txt, 1395, 884, 180, 129, 597, 100, 48
orig_taskd.txt, g0pC_taskd.txt, 1395, 802, 180, 95, 731, 82, 56
orig_taskd.txt, g0pD_taskd.txt, 1395, 183, 180, 20, 171, 20, 4
orig_taskd.txt, g0pE_taskd.txt, 1395, 292, 180, 39, 254, 39, 7
orig_taskd.txt, g1pA_taskd.txt, 1395, 1143, 180, 137, 799, 105, 63
orig_taskd.txt, g1pB_taskd.txt, 1395, 830, 180, 107, 577, 95, 38
orig_taskd.txt, g1pD_taskd.txt, 1395, 646, 180, 91, 440, 76, 14
orig_taskd.txt, g2pA_taskd.txt, 1395, 1364, 180, 188, 924, 139, 86
orig_taskd.txt, g2pB_taskd.txt, 1395, 1228, 180, 153, 1138, 151, 134
orig_taskd.txt, g2pC_taskd.txt, 1395, 1079, 180, 145, 653, 107, 47
orig_taskd.txt, g2pE_taskd.txt, 1395, 713, 180, 97, 447, 82, 16
orig_taskd.txt, g3pA_taskd.txt, 1395, 1382, 180, 179, 1373, 177, 177
orig_taskd.txt, g3pB_taskd.txt, 1395, 612, 180, 80, 485, 72, 30
orig_taskd.txt, g3pC_taskd.txt, 1395, 461, 180, 64, 395, 56, 32
orig_taskd.txt, g4pB_taskd.txt, 1395, 985, 180, 131, 802, 113, 99
orig_taskd.txt, g4pC_taskd.txt, 1395, 1328, 180, 168, 1218, 155, 154
orig_taskd.txt, g4pD_taskd.txt, 1395, 1086, 180, 125, 570, 97, 16
orig_taskd.txt, g4pE_taskd.txt, 1395, 1015, 180, 135, 518, 96, 12
orig_taske.txt, g0pA_taske.txt, 2351, 990, 316, 121, 673, 105, 26
orig_taske.txt, g0pB_taske.txt, 2351, 1135, 316, 141, 847, 125, 70
orig_taske.txt, g0pC_taske.txt, 2351, 734, 316, 92, 695, 90, 83
orig_taske.txt, g0pD_taske.txt, 2351, 471, 316, 55, 390, 54, 10
orig_taske.txt, g0pE_taske.txt, 2351, 505, 316, 61, 505, 61, 61
orig_taske.txt, g1pA_taske.txt, 2351, 816, 316, 104, 557, 93, 18
orig_taske.txt, g1pB_taske.txt, 2351, 1459, 316, 183, 1186, 160, 101
orig_taske.txt, g1pD_taske.txt, 2351, 865, 316, 111, 660, 101, 38
orig_taske.txt, g2pA_taske.txt, 2351, 1138, 316, 136, 729, 120, 19
orig_taske.txt, g2pB_taske.txt, 2351, 1271, 316, 162, 1268, 160, 155
orig_taske.txt, g2pC_taske.txt, 2351, 999, 316, 119, 715, 108, 35
orig_taske.txt, g2pE_taske.txt, 2351, 843, 316, 104, 585, 98, 19
orig_taske.txt, g3pA_taske.txt, 2351, 967, 316, 135, 653, 113, 22
orig_taske.txt, g3pB_taske.txt, 2351, 680, 316, 82, 668, 81, 73
orig_taske.txt, g3pC_taske.txt, 2351, 505, 316, 62, 455, 51, 39
orig_taske.txt, g4pB_taske.txt, 2351, 1686, 316, 219, 1498, 198, 198
orig_taske.txt, g4pC_taske.txt, 2351, 1168, 316, 148, 1116, 147, 137
orig_taske.txt, g4pD_taske.txt, 2351, 1099, 316, 147, 933, 132, 102
orig_taske.txt, g4pE_taske.txt, 2351, 1118, 316, 142, 695, 125, 20

